#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,endpoint,host,method,peak_users,result,server,service,status_code,system_type,teastore
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:23:00Z,3.4569104865000004,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:25:00Z,4.406648227,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:26:00Z,0.8201408235000001,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:27:00Z,0.052543693499999995,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:28:00Z,0.06837047816666668,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:29:00Z,0.048678924166666665,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:30:00Z,0.04437245966666667,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:31:00Z,0.0474056535,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:32:00Z,0.04332759216666667,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:33:00Z,0.047480827499999996,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
